id,nome,ano,sinopse,categoria
1,Padre,2011,No mundo devastado por uma guerra entre humanos...,Terror
2,Hotel Transilvânia: Transformonstrão,2022,Drac e sua turma acabam sendo transformados em ...,Fantasia
3,Star Wars: Episódio III - A Vingança dos Sith,2005,As Guerras Clônicas estão em pleno andamento e ...,Ficção Científica
4,Como Treinar o Seu Dragão,2025,"Na montanhosa Ilha de Berk, vikings e dragões s...",Ação
5,O Atirador: Sem Nação,2026,"Perseguidos por mercenários, Brandon Beckett e ...",Ação
6,Noites Brutais,2022,Chegando a Detroit para uma entrevista de empre...,Terror
7,Um Filme Minecraft,2025,Quatro desajustados são subitamente puxados por...,Comédia
8,À Procura da Felicidade,2006,Chris enfrenta sérios problemas financeiros e L...,Drama
9,A Hora do Pesadelo,1984,Um grupo de adolescentes tem pesadelos horrívei...,Terror
10,Below Her Mouth,2017,É em um fim de semana inesperado e desinibido q...,Romance
11,Juntos e Misturados,2014,"Após um encontro desastroso, os pais solteiros ...",Romance
12,X-Men: Dias de um Futuro Esquecido,2014,O Dr. Bolivar Trask acredita que os mutantes sã...,Ficção Científica
13,Pecado Original,2001,No exótico mundo de Cuba Luis Antonio Vargas (A...,Romance
14,Planeta dos Macacos: O Confronto,2014,"Em 2026, a humanidade está enfrentando sua pior...",Suspense
15,A Casa Monstro,2006,D.J. Walters é um garoto de 12 anos que acredit...,Animação
16,A Guerra dos Mundos,2025,Will Radford é um renomado analista de ciberseg...,Ficção Científica
17,O Espetacular Homem-Aranha 2: A Ameaça de Electro,2014,O jovem Peter Parker está fascinado com as habi...,Ficção Científica
18,É Assim Que Acaba,2024,"Lily Bloom, uma mulher que supera uma infância ...",Romance
19,John Wick 3: Parabellum,2019,Após assassinar o chefe da máfia Santino D'Anto...,Suspense
20,Boonie Bears e o robô destruidor,2014,Logger Vick quer ganhar dinheiro para as compra...,Animação
21,Premonição 6: Laços de Sangue,2025,Atormentada por um pesadelo violento recorrente...,Terror
22,Rota de Fuga 2: Hades,2018,Anos depois de ter conseguido escapar de uma pr...,Policial
23,Meninas Malvadas,2004,Criada na selva africana por seus pais zoólogos...,Comédia
24,Eu Quero Comer seu Pâncreas,2018,"Um dia, ele encontra um diário em um hospital. ...",Animação
25,Smurfs,2025,Quando o Papai Smurf é misteriosamente levado p...,Fantasia
26,Suzume,2022,Depois que Suzume abre sem querer uma porta do ...,Animação
27,Batman: O Cavaleiro das Trevas Ressurge,2012,Após ser culpado pela morte de Harvey Dent e pa...,Suspense
28,A Meia-Irmã Feia,2025,"Elvira, meia-irmã de Cinderela, vive com a famí...",Terror
29,Up: Altas Aventuras,2009,"Carl Fredricksen é um vendedor de balões que, a...",Comédia
30,Um Contratempo,2017,Após acordar ao lado de sua amante assassinada ...,Suspense
31,O Rei Leão II: O Reino de Simba,1998,Kiara é a filhote de Simba e Nala. A pequena le...,Animação
32,Vingadores: Ultimato,2019,"Após os eventos devastadores de ""Vingadores: Gu...",Ação
33,Todo Mundo em Pânico 3,2003,Tudo começa quando a apresentadora de telejorna...,Comédia
34,Socorro!,2026,"Após um acidente aéreo, um chefe e uma funcioná...",Terror
35,O Vale dos Sorrisos,2025,"No povoado mais alegre da Itália, um professor ...",Drama
36,Star Wars: O Mandaloriano e Grogu,2026,O maligno Império caiu e os senhores da guerra ...,Ação
37,Vidas Passadas,2023,Nora e Hae Sung são amigos de infância profunda...,Romance
38,Betty Blue,1986,Zorg é um faz-tudo que cuida de vários bangalôs...,Romance
39,Destino Insólito,2002,"Um magnata da indústria farmacêutica, Anthony ""...",Romance
40,Madagascar,2005,O leão Alex é a grande atração do zoológico do ...,Comédia
41,Busca Implacável,2008,"Bryan Mills é um ex-agente do governo, que deix...",Suspense
42,Piratas do Caribe: O Baú da Morte,2006,Will e Elizabeth estão prestes a se casar quand...,Ação
43,Q Sexual Desire,2011,Em um contexto social deteriorado por uma crise...,Romance
44,Como Perder um Homem em 10 Dias,2003,Ben é um publicitário que aposta com o chefe qu...,Romance
45,A Lenda de Hei,2019,Depois que o avanço dos humanos destrói a flore...,Fantasia
46,Interestelar,2014,As reservas naturais da Terra estão chegando ao...,Ficção Científica
47,O Abutre,2014,Enfrentando dificuldades para conseguir um empr...,Suspense
48,Duna: Parte Dois,2024,A jornada de Paul Atreides continua. Ele está d...,Ficção Científica
49,Detona Ralph,2012,Ralph está cansado de ser desprezado no seu pró...,Animação
50,Thor: Amor e Trovão,2022,"Thor parte em uma jornada de autodescoberta, di...",Comédia
51,As Cores do Mal: Preto,2026,Ao investigar o desaparecimento de crianças em ...,Suspense
52,Michael,2026,A história da vida de Michael Jackson além da m...,Drama
53,Pillion,2025,"Colin, um homem tímido, conhece Ray, um confian...",Romance
54,Procurando Dory,2016,Um ano depois dos acontecimentos narrados em “P...,Animação
55,Bola pra Cima,2026,"Nesta comédia, os executivos de marketing Brad ...",Ação
56,Super Mario Bros. O Filme,2023,Transportados do Brooklyn para o Reino Cogumelo...,Comédia
57,Invasão Zumbi,2016,A Coreia do Sul decreta estado de emergência ap...,Ação
58,Pânico VI,2023,"Sam, Tara, Chad e Mindy, os quatro sobrevivente...",Terror
59,Pearl Harbor,2001,Dois pilotos e amigos de longa data se apaixona...,Romance
60,O Espetacular Homem-Aranha,2012,Peter Parker está tentando saber mais sobre sua...,Ficção Científica
61,Gladiador,2000,"Nos dias finais do reinado de Marcus Aurelius, ...",Ação
62,Wish: O Poder dos Desejos,2023,"No reino mágico de Rosas, Asha é uma moça persp...",Animação
63,As Novas Viagens de Simbad,1973,Simbad e sua tripulação interceptam um animal f...,Drama
64,Casamento Sangrento: A Viúva,2026,A noiva retorna em uma nova e sinistra rodada d...,Terror
65,Gonjiam: Manicômio Assombrado,2018,A equipe de um web show de horror planeja trans...,Terror
66,A Fúria do Dragão,1972,Quando Chen Zhen descobre que seu venerado mest...,Suspense
67,Kung-Fusão,2004,"Em uma cidade controlada pela gangue Axe, o lad...",Fantasia
68,Police Story: A Guerra das Drogas,1985,O policial Chan Ka-Kui consegue botar atrás das...,Policial
69,A Pressão,2026,"Nas tensas 72 horas que antecederam o Dia D, e ...",Suspense
70,A Professora de Piano,2001,Erika Kohut trabalha como professora de piano n...,Romance
71,Sorria 2,2024,"Prestes a embarcar em uma nova turnê mundial, a...",Terror
72,IT: Capítulo Dois,2019,Vinte e sete anos após o Clube dos Otários derr...,Terror
73,Pobres Criaturas,2023,A jovem Bella Baxter é trazida de volta à vida ...,Ficção Científica
74,Ratatouille,2007,"Remy, morador de Paris, aprecia boa comida e te...",Comédia
75,O Senhor dos Anéis: As Duas Torres,2002,"Após a captura de Merry e Pippin pelos orcs, a ...",Ação
76,O Primata,2026,A universitária Lucy vai passar férias em casa ...,Terror
77,À Espera de um Milagre,1999,"Milagres acontecem em lugares inesperados, mesm...",Drama
78,Tubarão,1975,Um terrível ataque a banhistas é o sinal de que...,Terror
79,Enrolados,2010,"O bandido mais procurado do reino, Flynn Rider,...",Animação
80,Crepúsculo,2008,Isabella Swan é uma adolescente que vai morar c...,Drama
81,Lift: Roubo nas Alturas,2024,Um ladrão profissional e sua equipe tentam faze...,Policial
82,Pulp Fiction: Tempo de Violência,1994,Vincent Vega e Jules Winnfield são dois assassi...,Comédia
83,Forrest Gump: O Contador de Histórias,1994,"Quarenta anos da história dos Estados Unidos, v...",Drama
84,A Serbian Film - Terror sem Limites,2010,"Milos (Srdjan Todorovic), um ator pornô aposent...",Terror
85,Batman,1989,"Em Gotham City o milionário Bruce Wayne, que qu...",Policial
86,Exhuma,2024,Depois de sofrer uma série de eventos paranorma...,Terror
87,Na Rota do Crime,2026,Após descobrir um plano para transportar gado r...,Suspense
88,Até o Último Homem,2016,"Desmond T. Doss, foi o médico do Exército Ameri...",Drama
89,Se Não Fosse Você,2025,Morgan Grant e sua filha Clara precisam lidar c...,Romance
90,Babygirl,2024,Romy é uma executiva que conquistou seu posto c...,Romance
91,Entre Facas e Segredos,2019,"Após comemorar 85 anos de idade, o famoso escri...",Policial
92,Cinquenta Tons de Cinza,2015,Anastasia Steele (Dakota Johnson) é uma estudan...,Drama
93,A Queda,2022,Becky e Hunter são duas amigas que buscam avent...,Suspense
94,As Branquelas,2004,O que acontece quando dois atrapalhados agentes...,Comédia
95,Megamente,2010,Tudo o que vilão Megamente mais queria era elim...,Animação
96,Senario XX,2005,Um alienígena cai acidentalmente em uma pequena...,Comédia
97,Do Deewane Seher Mein,2026,Dois millennials socialmente desajeitados em Mu...,Romance
98,Advogado do Diabo,1997,"Kevin Lomax, advogado de uma pequena cidade da ...",Terror
99,Casablanca,1943,"Durante a Segunda Guerra Mundial, muitos fugiti...",Romance
